# Line 1: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: TRAMMELL, MONICA
# Field 2: m
# Field 3: 39
# Field 4: 2014-06-11
# Field 5: 431 KIEST BOULEVARD
# Field 6: beat 352
# Field 7: OPEN
  TRAMMELL, MONICA|m|39|2014-06-11|431 KIEST BOULEVARD|beat 352|OPEN
  OKAFOR, DARIUS|M|16|2017-07-20|7282 KIEST BOULEVARD|Beat 326|OPEN  

# Line 7: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: Escobar, Terrence
# Field 2: m
# Field 3: 23
# Field 4: 1993-08-12
# Field 5: 885 jim miller road
# Field 6: beat 255
# Field 7: closed
  Escobar, Terrence | m | 23 | 1993-08-12 | 885 jim miller road | beat 255 | closed  

# Line 8: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: ESCOBAR, ANGELA
# Field 2: M
# Field 3: 58
# Field 4: 2019-09-21
# Field 5: 365 HASKELL AVENUE
# Field 6: Beat 455
# Field 7: OPEN
ESCOBAR, ANGELA | M | 58 | 2019-09-21 | 365 HASKELL AVENUE | Beat 455 | OPEN  

# Line 9: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: BOOKER, ANGELA
# Field 2: M
# Field 3: 59
# Field 4: 2023-07-27
# Field 5: 7329 scyene road
# Field 6: beat 352
# Field 7: closed
  BOOKER, ANGELA | M | 59 | 2023-07-27 | 7329 scyene road | beat 352 | closed

# Line 10: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: PRUITT, LATOYA
# Field 2: m
# Field 3: 69
# Field 4: 1981-02-19
# Field 5: 2355 buckner boulevard
# Field 6: beat 347
# Field 7: open
  PRUITT, LATOYA|m|69|1981-02-19|2355 buckner boulevard|beat 347|open  

# Line 11: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: Holloway, Darius
# Field 2: m
# Field 3: 33
# Field 4: 1999-03-20
# Field 5: 6339 kiest boulevard
# Field 6: beat 442
# Field 7: closed
Holloway, Darius | m | 33 | 1999-03-20 | 6339 kiest boulevard | beat 442 | closed

# Line 12: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: COFFEY, ANDRE
# Field 2: f
# Field 3: 67
# Field 4: 2009-10-03
# Field 5: 9148 HAMPTON ROAD
# Field 6: beat 623
# Field 7: open
  COFFEY, ANDRE | f | 67 | 2009-10-03 | 9148 HAMPTON ROAD | beat 623 | open  

# Line 13: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: Holloway, Tasha
# Field 2: m
# Field 3: 30
# Field 4: 2025-12-27
# Field 5: 3940 peavy road
# Field 6: beat 731
# Field 7: CLOSED
Holloway, Tasha | m | 30 | 2025-12-27 | 3940 peavy road | beat 731 | CLOSED

# Line 14: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: BELTRAN, TASHA
# Field 2: f
# Field 3: 15
# Field 4: 1991-11-19
# Field 5: 870 MILITARY PARKWAY
# Field 6: beat 731
# Field 7: closed
  BELTRAN, TASHA | f | 15 | 1991-11-19 | 870 MILITARY PARKWAY | beat 731 | closed  

# Line 15: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: DUPREE, BRANDON
# Field 2: M
# Field 3: 49
# Field 4: 1989-05-10
# Field 5: 8508 kiest boulevard
# Field 6: beat 537
# Field 7: CLOSED
  DUPREE, BRANDON | M | 49 | 1989-05-10 | 8508 kiest boulevard | beat 537 | CLOSED

# Line 16: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: Coffey, Jorge
# Field 2: f
# Field 3: 64
# Field 4: 1981-06-23
# Field 5: 2784 AUDELIA ROAD
# Field 6: Beat 255
# Field 7: OPEN
    Coffey, Jorge | f | 64 | 1981-06-23 | 2784 AUDELIA ROAD | Beat 255 | OPEN  

# Line 17: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: PRUITT, BRANDON
# Field 2: M
# Field 3: 19
# Field 4: 2008-11-22
# Field 5: 1108 LEDBETTER DRIVE
# Field 6: Beat 731
# Field 7: OPEN
  PRUITT, BRANDON | M | 19 | 2008-11-22 | 1108 LEDBETTER DRIVE | Beat 731 | OPEN

# Line 18: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: RENFRO, ELENA
# Field 2: m
# Field 3: 44
# Field 4: 2024-07-08
# Field 5: 8794 military parkway
# Field 6: beat 347
# Field 7: OPEN
  RENFRO, ELENA|m|44|2024-07-08|8794 military parkway|beat 347|OPEN

# Line 19: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: DUPREE, TYRONE
# Field 2: F
# Field 3: 32
# Field 4: 2025-09-08
# Field 5: 6075 FATIMA AVENUE
# Field 6: Beat 341
# Field 7: Open
DUPREE, TYRONE|F|32|2025-09-08|6075 FATIMA AVENUE|Beat 341|Open  

# Line 20: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: Coffey, Yolanda
# Field 2: M
# Field 3: 63
# Field 4: 2005-12-24
# Field 5: 7497 scyene road
# Field 6: Beat 518
# Field 7: closed
  Coffey, Yolanda | M | 63 | 2005-12-24 | 7497 scyene road | Beat 518 | closed  

# Line 21: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: Okafor, Victor
# Field 2: m
# Field 3: 20
# Field 4: 1997-10-06
# Field 5: 1339 haskell avenue
# Field 6: beat 352
# Field 7: OPEN
  Okafor, Victor | m | 20 | 1997-10-06 | 1339 haskell avenue | beat 352 | OPEN  

# Line 22: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: Delgado, Brenda
# Field 2: M
# Field 3: 50
# Field 4: 1987-09-26
# Field 5: 3226 LANCASTER ROAD
# Field 6: beat 255
# Field 7: OPEN
  Delgado, Brenda | M | 50 | 1987-09-26 | 3226 LANCASTER ROAD | beat 255 | OPEN  

# Line 23: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: HOLLOWAY, VICTOR
# Field 2: f
# Field 3: 32
# Field 4: 2011-10-05
# Field 5: 2638 fatima avenue
# Field 6: beat 326
# Field 7: OPEN
  HOLLOWAY, VICTOR | f | 32 | 2011-10-05 | 2638 fatima avenue | beat 326 | OPEN  

# Line 24: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: FUENTES, DARIUS
# Field 2: f
# Field 3: 30
# Field 4: 2011-01-16
# Field 5: 7318 ILLINOIS AVENUE
# Field 6: beat 352
# Field 7: CLOSED
    FUENTES, DARIUS | f | 30 | 2011-01-16 | 7318 ILLINOIS AVENUE | beat 352 | CLOSED  

# Line 25: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: NGUYEN, FELIX
# Field 2: M
# Field 3: 67
# Field 4: 1981-06-17
# Field 5: 4951 hampton road
# Field 6: beat 326
# Field 7: open
NGUYEN, FELIX | M | 67 | 1981-06-17 | 4951 hampton road | beat 326 | open

# Line 26: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: CARTER, MIGUEL
# Field 2: M
# Field 3: 18
# Field 4: 1996-12-01
# Field 5: 2427 PEAVY ROAD
# Field 6: beat 255
# Field 7: open
CARTER, MIGUEL | M | 18 | 1996-12-01 | 2427 PEAVY ROAD | beat 255 | open

# Line 27: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: VILLANUEVA, MARCUS
# Field 2: M
# Field 3: 30
# Field 4: 2023-05-13
# Field 5: 9623 lawrence street
# Field 6: beat 518
# Field 7: closed
VILLANUEVA, MARCUS | M | 30 | 2023-05-13 | 9623 lawrence street | beat 518 | closed

# Line 28: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: ZAMORA, YOLANDA
# Field 2: f
# Field 3: 21
# Field 4: 2009-12-28
# Field 5: 8794 buckner boulevard
# Field 6: beat 518
# Field 7: closed
    ZAMORA, YOLANDA | f | 21 | 2009-12-28 | 8794 buckner boulevard | beat 518 | closed  

# Line 29: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: Villanueva, Victor
# Field 2: M
# Field 3: 71
# Field 4: 2017-01-21
# Field 5: 5654 SCYENE ROAD
# Field 6: beat 214
# Field 7: CLOSED
    Villanueva, Victor | M | 71 | 2017-01-21 | 5654 SCYENE ROAD | beat 214 | CLOSED

# Line 30: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: BELTRAN, DARIUS
# Field 2: f
# Field 3: 62
# Field 4: 1999-12-05
# Field 5: 3143 peavy road
# Field 6: beat 731
# Field 7: Open
BELTRAN, DARIUS | f | 62 | 1999-12-05 | 3143 peavy road | beat 731 | Open

# Line 31: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: ASHFORD, DARIUS
# Field 2: f
# Field 3: 26
# Field 4: 2020-11-24
# Field 5: 7641 ledbetter drive
# Field 6: Beat 731
# Field 7: CLOSED
  ASHFORD, DARIUS | f | 26 | 2020-11-24 | 7641 ledbetter drive | Beat 731 | CLOSED

# Line 32: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: Zamora, Terrence
# Field 2: M
# Field 3: 17
# Field 4: 2009-10-07
# Field 5: 226 military parkway
# Field 6: beat 214
# Field 7: CLOSED
  Zamora, Terrence | M | 17 | 2009-10-07 | 226 military parkway | beat 214 | CLOSED  

# Line 33: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: PRUITT, PATRICE
# Field 2: M
# Field 3: 61
# Field 4: 2009-05-15
# Field 5: 1433 jim miller road
# Field 6: Beat 537
# Field 7: CLOSED
  PRUITT, PATRICE | M | 61 | 2009-05-15 | 1433 jim miller road | Beat 537 | CLOSED

# Line 34: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: CISNEROS, TAMIKA
# Field 2: f
# Field 3: 43
# Field 4: 2013-07-21
# Field 5: 9033 AUDELIA ROAD
# Field 6: beat 341
# Field 7: OPEN
CISNEROS, TAMIKA | f | 43 | 2013-07-21 | 9033 AUDELIA ROAD | beat 341 | OPEN

# Line 35: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: Sandoval, Reggie
# Field 2: m
# Field 3: 32
# Field 4: 1988-12-05
# Field 5: 1868 LAWRENCE STREET
# Field 6: beat 326
# Field 7: OPEN
  Sandoval, Reggie|m|32|1988-12-05|1868 LAWRENCE STREET|beat 326|OPEN  

# Line 36: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: Fuentes, Elena
# Field 2: F
# Field 3: 42
# Field 4: 2018-06-20
# Field 5: 8791 kiest boulevard
# Field 6: beat 455
# Field 7: OPEN
Fuentes, Elena | F | 42 | 2018-06-20 | 8791 kiest boulevard | beat 455 | OPEN  

# Line 37: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: PALACIOS, REGGIE
# Field 2: m
# Field 3: 38
# Field 4: 2004-02-27
# Field 5: 3554 forest lane
# Field 6: beat 442
# Field 7: OPEN
  PALACIOS, REGGIE | m | 38 | 2004-02-27 | 3554 forest lane | beat 442 | OPEN

# Line 38: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: Escobar, Keisha
# Field 2: f
# Field 3: 22
# Field 4: 2003-08-17
# Field 5: 6197 ledbetter drive
# Field 6: beat 352
# Field 7: CLOSED
    Escobar, Keisha|f|22|2003-08-17|6197 ledbetter drive|beat 352|CLOSED  

# Line 39: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: Escobar, Lamar
# Field 2: M
# Field 3: 44
# Field 4: 1994-11-12
# Field 5: 3460 LANCASTER ROAD
# Field 6: Beat 455
# Field 7: CLOSED
  Escobar, Lamar | M | 44 | 1994-11-12 | 3460 LANCASTER ROAD | Beat 455 | CLOSED  

# Line 40: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: NGUYEN, LAMAR
# Field 2: M
# Field 3: 64
# Field 4: 2017-03-26
# Field 5: 8372 bruton road
# Field 6: beat 341
# Field 7: Open
  NGUYEN, LAMAR | M | 64 | 2017-03-26 | 8372 bruton road | beat 341 | Open  

# Line 41: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: Booker, Daniel
# Field 2: F
# Field 3: 58
# Field 4: 2000-04-27
# Field 5: 4588 illinois avenue
# Field 6: beat 731
# Field 7: open
  Booker, Daniel | F | 58 | 2000-04-27 | 4588 illinois avenue | beat 731 | open

# Line 42: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: BOOKER, HECTOR
# Field 2: M
# Field 3: 72
# Field 4: 1996-05-16
# Field 5: 3404 peavy road
# Field 6: Beat 326
# Field 7: CLOSED
  BOOKER, HECTOR | M | 72 | 1996-05-16 | 3404 peavy road | Beat 326 | CLOSED

# Line 43: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: SANDOVAL, TASHA
# Field 2: M
# Field 3: 64
# Field 4: 1988-12-26
# Field 5: 1600 ledbetter drive
# Field 6: Beat 518
# Field 7: OPEN
SANDOVAL, TASHA | M | 64 | 1988-12-26 | 1600 ledbetter drive | Beat 518 | OPEN

# Line 44: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: Trammell, Sylvia
# Field 2: m
# Field 3: 41
# Field 4: 1996-08-06
# Field 5: 8976 forest lane
# Field 6: Beat 537
# Field 7: Open
  Trammell, Sylvia | m | 41 | 1996-08-06 | 8976 forest lane | Beat 537 | Open

# Line 45: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: ZAMORA, MONICA
# Field 2: M
# Field 3: 29
# Field 4: 1997-10-15
# Field 5: 8140 lawrence street
# Field 6: Beat 623
# Field 7: OPEN
  ZAMORA, MONICA|M|29|1997-10-15|8140 lawrence street|Beat 623|OPEN  

# Line 46: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: FUENTES, LAMAR
# Field 2: M
# Field 3: 31
# Field 4: 1980-08-28
# Field 5: 4666 lawrence street
# Field 6: Beat 442
# Field 7: OPEN
FUENTES, LAMAR | M | 31 | 1980-08-28 | 4666 lawrence street | Beat 442 | OPEN

# Line 47: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: TRAMMELL, TERRENCE
# Field 2: M
# Field 3: 57
# Field 4: 1985-05-11
# Field 5: 1218 audelia road
# Field 6: beat 341
# Field 7: Open
  TRAMMELL, TERRENCE|M|57|1985-05-11|1218 audelia road|beat 341|Open  

# Line 48: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: Beltran, Wanda
# Field 2: m
# Field 3: 19
# Field 4: 1983-12-24
# Field 5: 4168 creek cove drive
# Field 6: beat 442
# Field 7: OPEN
Beltran, Wanda | m | 19 | 1983-12-24 | 4168 creek cove drive | beat 442 | OPEN  

# Line 49: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: Osei, Cedric
# Field 2: M
# Field 3: 66
# Field 4: 1988-10-13
# Field 5: 2540 LANCASTER ROAD
# Field 6: Beat 347
# Field 7: OPEN
Osei, Cedric | M | 66 | 1988-10-13 | 2540 LANCASTER ROAD | Beat 347 | OPEN

# Line 50: case record
# Name | Sex | Age | Date | Address | Beat | Status
# Field 1: ZAMORA, DENISE
# Field 2: M
# Field 3: 22
# Field 4: 1981-02-24
# Field 5: 5377 LAWRENCE STREET
# Field 6: beat 341
# Field 7: closed
  ZAMORA, DENISE | M | 22 | 1981-02-24 | 5377 LAWRENCE STREET | beat 341 | closed

